"paID","waterBuffer","landQualityMin","qualitySurface","kernelScale","metricVariant","nonProtectedPenalty","factorOrder","nameEco","paPriority","paArea","priority","scnID"
1008,0,0,"Kennedy",2,"intactness",1,3,"HudsonPlains",1,573908440.88145,1,1
1018,0,0,"Kennedy",2,"intactness",1,7,"HudsonPlains",1,23134449955.3802,1,2
1019,0,0,"Kennedy",2,"intactness",1,8,"HudsonPlains",1,5430285.94082176,1,3
1027,0,0,"Kennedy",2,"intactness",1,11,"SouthernArctic",1,26107905856.5613,1,4
1039,0,0,"Kennedy",2,"intactness",1,15,"SouthernArctic",1,8302290.63798881,1,5
1046,0,0,"Kennedy",2,"intactness",1,17,"SouthernArctic",1,2822359.54908504,1,6
2051,0,0,"Kennedy",2,"intactness",1,22,"BorealShield",1,1000163.80774941,1,7
3257,0,0,"Kennedy",2,"intactness",1,25,"BorealShield",1,2311391.41089192,1,8
4170,0,0,"Kennedy",2,"intactness",1,30,"BorealShield",1,36303375525.5934,1,9
4284,0,0,"Kennedy",2,"intactness",1,31,"AtlanticMaritime",1,1007333.32919048,1,10
4354,0,0,"Kennedy",2,"intactness",1,33,"AtlanticMaritime",1,1036471105.72366,1,11
4570,0,0,"Kennedy",2,"intactness",1,35,"AtlanticMaritime",1,3198871.01032325,1,12
4940,0,0,"Kennedy",2,"intactness",1,43,"BorealCordillera",1,22061339582.6792,1,13
4945,0,0,"Kennedy",2,"intactness",1,45,"BorealCordillera",1,3080705787.19261,1,14
4956,0,0,"Kennedy",2,"intactness",1,49,"BorealCordillera",1,1846157.07452738,1,15
4980,0,0,"Kennedy",2,"intactness",1,50,"TaigaCordillera",1,30064673745.1984,1,16
4985,0,0,"Kennedy",2,"intactness",1,53,"TaigaPlains",1,1134164.45750834,1,17
5016,0,0,"Kennedy",2,"intactness",1,56,"TaigaPlains",1,14222357413.8446,1,18
5025,0,0,"Kennedy",2,"intactness",1,58,"TaigaPlains",1,59375808.8868579,1,19
5082,0,0,"Kennedy",2,"intactness",1,65,"PacificMaritime",1,11570860379.0235,1,20
5233,0,0,"Kennedy",2,"intactness",1,69,"PacificMaritime",1,2452634.22871413,1,21
5386,0,0,"Kennedy",2,"intactness",1,73,"PacificMaritime",1,1016125.41990122,1,22
5421,0,0,"Kennedy",2,"intactness",1,77,"ArcticCordillera",1,35465366375.7692,1,23
5423,0,0,"Kennedy",2,"intactness",1,78,"NorthernArctic",1,109837158383.222,1,24
5430,0,0,"Kennedy",2,"intactness",1,83,"NorthernArctic",1,18560849.009942,1,25
5433,0,0,"Kennedy",2,"intactness",1,85,"NorthernArctic",1,825396183.683524,1,26
5439,0,0,"Kennedy",2,"intactness",1,88,"ArcticCordillera",1,743129615.380198,1,27
5442,0,0,"Kennedy",2,"intactness",1,91,"ArcticCordillera",1,5293869684.71423,1,28
5446,0,0,"Kennedy",2,"intactness",1,94,"TaigaCordillera",1,31615050.6461597,1,29
5450,0,0,"Kennedy",2,"intactness",1,96,"TaigaCordillera",1,168592790.940857,1,30
5457,0,0,"Kennedy",2,"intactness",1,102,"TaigaShield",1,8757716323.89794,1,31
5463,0,0,"Kennedy",2,"intactness",1,105,"TaigaShield",1,2392970338.22383,1,32
5469,0,0,"Kennedy",2,"intactness",1,107,"TaigaShield",1,3312397.5565133,1,33
5485,0,0,"Kennedy",2,"intactness",1,110,"Prairies",1,753000,1,34
5563,0,0,"Kennedy",2,"intactness",1,112,"Prairies",1,1105883.28836788,1,35
5595,0,0,"Kennedy",2,"intactness",1,115,"Prairies",1,5243009.53905799,1,36
5903,0,0,"Kennedy",2,"intactness",1,123,"MontaneCordillera",1,67446838.633274,1,37
6050,0,0,"Kennedy",2,"intactness",1,127,"MontaneCordillera",1,1010419.22908118,1,38
6071,0,0,"Kennedy",2,"intactness",1,129,"MontaneCordillera",1,11235427745.0197,1,39
6176,0,0,"Kennedy",2,"intactness",1,134,"BorealPlains",1,1002061.74968807,1,40
6199,0,0,"Kennedy",2,"intactness",1,135,"BorealPlains",1,3954946843.15147,1,41
6230,0,0,"Kennedy",2,"intactness",1,136,"BorealPlains",1,5067174.28096396,1,42
6379,0,0,"Kennedy",2,"intactness",1,140,"MixedWoodPlains",1,156847938.73642,1,43
6513,0,0,"Kennedy",2,"intactness",1,144,"MixedWoodPlains",1,3926163.37825035,1,44
6622,0,0,"Kennedy",2,"intactness",1,147,"MixedWoodPlains",1,1007303.46655439,1,45
1008,0,100,"Kennedy",2,"intactness",1,152,"HudsonPlains",1,573908440.88145,1,46
1018,0,100,"Kennedy",2,"intactness",1,156,"HudsonPlains",1,23134449955.3802,1,47
1019,0,100,"Kennedy",2,"intactness",1,157,"HudsonPlains",1,5430285.94082176,1,48
1027,0,100,"Kennedy",2,"intactness",1,160,"SouthernArctic",1,26107905856.5613,1,49
